id;post;created
71;TELECONSEILLER;17/01/2017 17:20
72;Technical Regional Manager;18/01/2017 09:23
73;Assistant en étude et analyse des données douanieres;18/01/2017 16:03
74;mecanique moto 2T;18/01/2017 17:13
75;RESPONSABLE ADJOINT EN APPROVISIONNEMENT;18/01/2017 17:22
76;Gestionnaire des emplois ;18/01/2017 17:22
77;Gestionnaire et chargé du développement RH;18/01/2017 17:22
78;Musicien Interpréteur, Programmeur;18/01/2017 17:27
79;Volontaire des quartiers;18/01/2017 17:27
80;R hse;19/01/2017 08:38
81;Chargé de Projet Client;19/01/2017 11:24
82;Attaché client et  responsable marketing;19/01/2017 16:50
83;Responsable Ressources Humaines & Logistique;20/01/2017 08:25
84;Responsable Administrative & Financier ;20/01/2017 08:25
85;Comptable & Assistante Administrative ;20/01/2017 08:25
86;Assistante Comptable;20/01/2017 08:25
87;Web Master / Developper;20/01/2017 09:04
88;Agent d'escale;20/01/2017 10:40
89;Responsable achat ;20/01/2017 10:45
90;Télé-conseiller;21/01/2017 08:19
91;Chroniqueuse;21/01/2017 08:19
92;Cordonateurs socio-organisationnelle;22/01/2017 09:46
93;Stagiaire en Administration ;22/01/2017 10:43
94;Chargé de Clientèle;22/01/2017 10:43
95;Stagiaire en Comptabilité;22/01/2017 10:43
96;Secrétaire standardiste sénior;24/01/2017 11:38
97;Réceptionniste polyvalente;24/01/2017 11:38
98;Administrateur des ventes opérations;24/01/2017 11:38
99;assistante manager;25/01/2017 06:26
100;Designer;25/01/2017 06:36
101;Cadreur, Monteur, realisateur;25/01/2017 06:36
102;Professeur de Mathématiques;25/01/2017 08:57
103;Responsable Financier;25/01/2017 08:57
104;Assistante administrative;25/01/2017 09:27
105;agent de réservation;25/01/2017 09:28
106;LABORATOIRE;25/01/2017 09:33
107;SECRETAIRE LOGISTIQUE;25/01/2017 11:52
108;comptable;25/01/2017 16:49
109;Animateur;26/01/2017 11:03
110;Rédacteur web Junior / Rédacteur web Confirmé / Chef de Mission;27/01/2017 15:34
111;Responsable Volet Ecotourisme du Parc National de la Montagne d'Ambre;27/01/2017 15:34
112;Assistante Import / Export;27/01/2017 15:34
113;Consultant;30/01/2017 08:12
114;superviseur;30/01/2017 08:33
115;Informaticien polyvalent;30/01/2017 08:34
116;Developper ;30/01/2017 09:17
117;informatique;30/01/2017 09:17
118;PAO-iste, infographiste;30/01/2017 10:47
119;Participant;30/01/2017 10:47
120;"Agent de production;agent administratif;vendeuse";30/01/2017 12:13
121;RESPONSABLE BOUTIQUE;01/02/2017 09:10
122;WEB Designer;01/02/2017 10:46
123;receptioniste, femme de chambre;01/02/2017 14:08
124;Responsable Commercial;01/02/2017 15:48
125;Directeur Commercial;01/02/2017 15:48
126;Chef de Produit HYUNDAI;01/02/2017 15:48
127;secretaire générale;03/02/2017 15:52
128;secretaire;03/02/2017 15:52
129;RESPONSABLE RH ET COMPTABLE;03/02/2017 16:44
130;GUICHETIER PAYEUR EXPLOITANT;03/02/2017 16:44
131;redacteur free lance à domicile;06/02/2017 09:48
132;Responsble bibliothèque;06/02/2017 11:32
133;Professeur informatique et Bibliothècaires;06/02/2017 11:32
134;Caissier, Aide comptable, Secretaire;06/02/2017 11:32
135;IT Officer;06/02/2017 14:29
136;caissiere;08/02/2017 06:52
137;responsable d approvisionnement;08/02/2017 15:33
138;Stagiaire en gestion;13/02/2017 09:38
139;Enseignante de la langue anglaise;13/02/2017 09:45
140;couturiere;13/02/2017 10:13
141;Comptable Stagiaire;13/02/2017 11:34
142;Agent Hotliner;13/02/2017 12:09
143;Enseignant;13/02/2017 12:09
144;opérateur de saisie au sénat de Madgascar;13/02/2017 13:37
145;ICT Intern ;13/02/2017 14:45
146;accueil;13/02/2017 15:59
147;Stagiaire en Administration Réseau et Programmation;14/02/2017 13:13
148;Chef de distribution ;14/02/2017 13:13
149;;14/02/2017 13:30
150;Magasinier;14/02/2017 14:22
151;Agent technique ;14/02/2017 14:54
152;Gestionnaire;14/02/2017 14:54
153;Assistante Administrative et Financière ;14/02/2017 16:31
154;Secretaire de direction ;14/02/2017 16:31
155;Agent de Méthode;15/02/2017 09:24
156;rédactrice web;15/02/2017 10:06
157;Stagiaire approvisionnement;15/02/2017 11:13
158;Stagiaire juridique;15/02/2017 11:13
159;Stagiaire recouvrement;15/02/2017 11:13
160;Assistant administratif et comptable;15/02/2017 11:13
161;Contrôleur d’enquête ;15/02/2017 11:13
162;vulgarisateur, contrôleur qualité, conseiller agricole, ;15/02/2017 13:46
163;Ouivrier spécialisé;16/02/2017 11:22
164;Chef d'équipe;16/02/2017 11:22
165;Accueil et comptable;16/02/2017 14:54
166;Conseiller Client;16/02/2017 14:54
167;Agent commercial;16/02/2017 16:26
168;animateur et gerante du projet tanora garanteen's;17/02/2017 11:33
169;Graphiste;17/02/2017 11:54
170;Développeur Windev;17/02/2017 12:12
171;Développeur d'application et DBA Oracle;17/02/2017 12:12
172;Préstataire specialiste Informatique;17/02/2017 12:12
173;Cnsultant IT;17/02/2017 12:12
174;Consultant IT;17/02/2017 12:16
175;Opérateur web;17/02/2017 22:19
176;Stagiaire récéptionniste et serveuse ;21/02/2017 16:18
177;Surveillante;21/02/2017 16:18
178;Stagiaire étalagiste au magasin de jouets;21/02/2017 16:18
179;Responsable des affaires commerciales;22/02/2017 11:03
180;Gérant;23/02/2017 07:37
181;Responsable logistique;23/02/2017 13:52
182;administrateur;25/02/2017 21:09
183;Opérateur de gestion;26/02/2017 14:54
184;Opérateur SIG;26/02/2017 14:54
185;Chef d'atelier;26/02/2017 14:54
186;Assistant technique ;26/02/2017 14:54
187;Conseillère en vente;26/02/2017 19:28
188;Téléopératrice;27/02/2017 07:24
189;Rédactrice et suivi skype;27/02/2017 07:24
190;Stage en vue de l'obtention du diplome Master II en Informatique option Génie logiciel ;27/02/2017 15:08
191;Stage ene vue de l'obtention du diplome de liecence professionnelle en informatqi;27/02/2017 15:22
192;Stage Lynux (Lycée numérique orienté exercice);28/02/2017 07:24
193;assistant surete;28/02/2017 08:51
194;Commerciale;28/02/2017 14:08
195;Chauffeur;28/02/2017 16:14
196;Analyste-programmeur;28/02/2017 17:01
197;Analyste;28/02/2017 17:01
198;Analyste-programmeur / Consultant;28/02/2017 17:01
199;Chef de projet / Data manager / Concepteur de logiciels;28/02/2017 17:01
200;Consultant en solutions informatiques;28/02/2017 17:01
201;Administrateur en Système, maintenance et réseaux informatique ;01/03/2017 00:31
202;Technicien en maintenance et réseaux informatique;01/03/2017 00:31
203;Stagiere Administrateur en Système, maintenance et réseaux informatique ;01/03/2017 00:31
204;Technicien en maintenance et système informatique;01/03/2017 00:31
205;Agent de parc;01/03/2017 10:57
206;Chef de Volet Ecotourisme;01/03/2017 10:57
207;Intégrateur HTML/CSS Freelance;01/03/2017 11:20
208;Opérateur de saisie/Online;02/03/2017 07:25
209;maternités ;02/03/2017 07:50
210;SECRETAIRE COMPTABLE;02/03/2017 16:19
211;;03/03/2017 09:04
212;secretaire commercial;03/03/2017 16:16
213;chef de laboratoire géotechnique ;06/03/2017 11:01
214;GERANTE;06/03/2017 12:31
215;gestion outillage avion;06/03/2017 14:27
216;IT INTERN;07/03/2017 13:12
217;IT CONSULTANT;07/03/2017 13:12
218;ACTING ADMINISTRATIVE ASSISTANT;07/03/2017 13:12
219;electrotechnicien;07/03/2017 14:09
220;Auditeur;07/03/2017 15:05
221;caissiere et commerciale;07/03/2017 15:36
222;Serveuse;07/03/2017 15:36
223;Operatrcie media;08/03/2017 14:29
224;Assistante chef projet;08/03/2017 14:29
225;Formatrice en coiffure et esthetique;08/03/2017 14:29
226;Gerante boutique, Coiffeuse Estheticienne;08/03/2017 14:29
227;Secretaire Assistante;08/03/2017 14:29
228;Télé-conseillé ;08/03/2017 16:00
229;cadre;09/03/2017 10:11
230;Conseiller juridique et Personnel administratif;09/03/2017 16:32
231;assistant au responsable de la comptabilité;10/03/2017 08:48
232;;10/03/2017 09:26
233;téléopérateur;11/03/2017 09:05
234;Responsable production;11/03/2017 13:09
235;Technicien en Informatique;13/03/2017 09:49
236;Magasinier et responsable administratif, contentieux;13/03/2017 10:56
237;conseiller à la caisse ;13/03/2017 10:56
238;technicien et conseiller ;13/03/2017 10:56
239;aide mécano avion;13/03/2017 16:08
240;Chef de département vente et location de matériels informatiques et mobiliers;14/03/2017 07:35
241;Stagiaire: superviseur en call center;14/03/2017 07:40
242;stagiaire: animatrice d'une émission;14/03/2017 08:11
243;actrice;14/03/2017 08:11
244;animatrice;14/03/2017 08:11
245;Paire Educateur Jeune;14/03/2017 08:18
246;développeur d'application;14/03/2017 09:20
247;projet de fin d'année;14/03/2017 09:20
248;concepteur;14/03/2017 09:22
249;Agent d’accueil ;14/03/2017 10:01
250;Attachée de production et commerciale;14/03/2017 10:01
251;Assistante technique;14/03/2017 10:01
252;Télé conseillère ;14/03/2017 10:01
253;vulgarisateur agricol;14/03/2017 15:28
254;stagiaire sur la conservation ex-situe de l'Aye-aye;14/03/2017 15:28
255;téléconseiller et assistant sur terrain (118712 orange);15/03/2017 15:38
256;téléopérateur/superviseur ;15/03/2017 15:47
257;stagiaire (aide informaticien);15/03/2017 15:47
258;initiateur en informatique;15/03/2017 15:47
259;commercial technique;15/03/2017 15:47
260;hôtesse d'accueil;16/03/2017 11:08
261;animatrice de vente;16/03/2017 11:08
262;conseillère client;16/03/2017 15:44
263;stagiaire commerciale;16/03/2017 15:44
264;traitement d'image ARC GIS, ENVI, IDRISI;17/03/2017 15:30
265;responsable des ressources humaines et transit;18/03/2017 09:06
266;infographe;19/03/2017 18:00
267;CHAUFFEUR CONDUCEUR;20/03/2017 09:21
268;Auditeur consultant ;20/03/2017 10:24
269;enseignante;20/03/2017 12:41
270;chef de ventes;20/03/2017 13:22
271;Stagiaire Dessinateur-Projeteur-Métreur-Topographe;21/03/2017 08:05
272;Stagiaire Assistance de Conducteur de Travaux;21/03/2017 08:05
273;Stagiaire Assistance d’Ingénieur;21/03/2017 08:05
274;Stagiaire Conseiller Technique;21/03/2017 08:05
275;Stagiaire Assistance au Chef Service;21/03/2017 08:05
276;Caissier;21/03/2017 13:49
277;Technicien principal dans la section Développement et planification;22/03/2017 08:52
278;Intervenant du projet Haiko ny fireneko;22/03/2017 08:52
279;Directeur du personnel et de l'administration;22/03/2017 15:31
280;Directeur département des marchés;22/03/2017 15:31
281;Chef de service de l'agence municipale des initiatives pour l'emploi;22/03/2017 15:38
282;responsable de la gestion des ressources humaines de la CPSE;22/03/2017 15:38
283;responsable des projets de la cellule partenaire public privé;22/03/2017 15:38
284;assistante de direction;22/03/2017 15:38
285;formateur en informatique;22/03/2017 15:55
286;formateur assistant;22/03/2017 15:55
287;stagiaire en administrateur réseaux ;22/03/2017 15:55
288;gérante cyber café;22/03/2017 16:03
289;Responsable Technique Infrastructure;22/03/2017 18:24
290;Directrice Generale;22/03/2017 20:32
291;stagiaire dans le service qualité ;23/03/2017 07:38
292;stagiaire dans le service de vulgarisation et marketing ;23/03/2017 07:40
293;Vendeuse;24/03/2017 07:16
294;Stagiaire dans la direction du suivi-évaluation et communication;24/03/2017 07:30
295;Développeur stagiaire;24/03/2017 07:40
296;Chauffeur du personnel;24/03/2017 08:04
297;Chauffeur et conducteur d'engin;24/03/2017 08:05
298;Chauffeur livreur;24/03/2017 08:06
299;Stagiaire à la direction de système d'information;24/03/2017 08:20
300;Stagiaire au sein de la Direction de système d'information;24/03/2017 08:23
301;Stagiaire aurpès du service marketing et opérationnel;24/03/2017 08:29
302;stagiaire en informatique;24/03/2017 10:40
303;animatrice de fête;24/03/2017 14:10
304;Assistant juridique ;24/03/2017 14:47
305;journaliste report (stage);24/03/2017 14:49
306;Assistant juridique (stage);24/03/2017 14:49
307;superviseur production;25/03/2017 12:00
308;technicien géneral;25/03/2017 12:18
309;opératrice back office;27/03/2017 09:57
310;opératrice de saisie on line;27/03/2017 09:57
311;opératrice on line;27/03/2017 09:57
312;Rédacteur Web;27/03/2017 13:37
313;Opérateur Média;27/03/2017 13:38
314;caissière et serveuse;27/03/2017 16:32
315;responsable suivi environnemental;28/03/2017 07:20
316;Commercial et  Conseiller clientèle;28/03/2017 09:58
317;chimiste;28/03/2017 11:16
318;ENQUETRICE;28/03/2017 14:49
319;responsable  qualité;28/03/2017 16:17
320;responsable  d'agence;28/03/2017 16:17
321;RESPONSABLE  VENTE  ET  RECOUVREMENT DE GROS CLIENT;28/03/2017 16:17
322;responsable  administratif;28/03/2017 16:17
323;Gestionnaire de caisse;29/03/2017 08:31
324;Surveillant;29/03/2017 13:22
325;Agent de cyber;30/03/2017 09:28
326;Dépanneur matériels informatiques;30/03/2017 09:29
327;Enquêteur (temporaire);30/03/2017 09:49
328;agent;30/03/2017 10:02
329;Stagiaire en tant que Chargée de clientèle;30/03/2017 11:37
330;responsable téléphonique;30/03/2017 11:38
331;Animatrice et lanceur de produit airtel Money;30/03/2017 11:40
332;Stagiaire/adjoint commercial;30/03/2017 12:01
333;Stagiaire en tant que Gestionnaire ;30/03/2017 12:07
334;Responsable de production (en période d'essaie de 3 mois);30/03/2017 14:58
335;Superviseur finition et expédition produits;30/03/2017 15:03
336;Technicien de production et maintenance stagiaire;30/03/2017 15:06
337; DEVELOPPEUR STAGIAIRE;31/03/2017 06:56
338;STAGIAIRE DEVELOPPEUR;31/03/2017 06:56
339;Agent de contrôle;31/03/2017 07:04
340;Chargé de mission- organisation du pavillon français 2010;31/03/2017 08:46
341;Chauffeur de direction;31/03/2017 09:11
342;Rédactrice;31/03/2017 09:23
343;Opératrice de saisie;31/03/2017 09:28
344;Commerciale et  Conseillère clientèle;31/03/2017 09:39
345;monteur vidéo (Stagiaire);31/03/2017 09:53
346;Caméraman/monteur (stagiaire);31/03/2017 09:55
347;Représentante au CIS Ambatovy;31/03/2017 10:06
348;Responsable de la boutique;31/03/2017 10:08
349;Caissière/barmaid/serveuse;31/03/2017 10:16
350;Enquêtrice (stagiaire);31/03/2017 13:41
351;Stagiaire dans le département comptabilité;31/03/2017 13:43
352;Responsable de Payeroll officer ;31/03/2017 13:55
353;Responsable comptabilité;31/03/2017 13:58
354;Assistant responsable planning;31/03/2017 13:59
355;Assistant du responsable planning;31/03/2017 14:01
356;Assistant du responsable développeur d'application informatique;31/03/2017 14:01
357;Assistant statistique;31/03/2017 14:03
358;co-gérante;31/03/2017 14:32
359;Chef des ventes;31/03/2017 14:34
360;Agent commerciale ;31/03/2017 14:35
361;Directeur Technique;03/04/2017 08:12
362;Stagiaire: assistant d'ingénieur et chef de chantier;03/04/2017 08:30
363;Animatrice technicienne;03/04/2017 09:39
364;hôtesse d'accueil (temporaire);03/04/2017 09:44
365;animatrice de vente (temporaire);03/04/2017 09:45
366;Animatrice et agent de communication (1 mois);03/04/2017 10:11
367;Rechnicien réseaiu,maintenance informatique,Developpement web;03/04/2017 10:53
368;Senior Technicien IT;03/04/2017 11:16
369;"Superviseur de l'animation commerciale sur ""orange money""";03/04/2017 11:58
370;Superviseur de l'animation commerciale sur ;03/04/2017 12:00
371;Chargé de l'organisation du Pavillon France 2010;03/04/2017 12:00
372;Web commercial et assistant de Direction;03/04/2017 12:01
373;Attaché de Direction;03/04/2017 12:03
374;Gestionnaire crédits client;03/04/2017 12:04
375;Chargé des opérations administratives et comptables;03/04/2017 12:06
376;Assistant Paoiste;03/04/2017 12:12
377;Responsable en tant que structure adhoc;04/04/2017 06:24
378;Stagiaire dans le département vente de produits et services;04/04/2017 06:30
379;Stagiaire en tant qu'Agent d'accueil ;04/04/2017 06:32
380;;04/04/2017 08:20
381;Scrum Master;05/04/2017 07:57
382;Projet RSS/GAVI;05/04/2017 08:45
383;Projet PURPIV;05/04/2017 08:47
384;Chef de laboratoire ;05/04/2017 09:03
385;Technicien de laboratoire;05/04/2017 09:05
386;Integrateur CSS;05/04/2017 09:19
387;Infographiste Print;05/04/2017 09:21
388;assistance service Finance;05/04/2017 11:43
389;Assistant de direction Fonctionnement réseau;05/04/2017 11:43
390;Développeur ERP;05/04/2017 12:59
391;Professeur en bureautique (débutant/avancé) et électronique;05/04/2017 15:26
392;Analyste de coût;06/04/2017 02:50
393;RAF;06/04/2017 02:50
394;Etudiant;06/04/2017 07:37
395;Néant;06/04/2017 15:19
396;secrétaire-récéptionniste;08/04/2017 09:23
397;développeur stagaire;09/04/2017 02:34
398;Technicien de maintenance informatique et réseau;09/04/2017 09:23
399;Chef de projet et développeur ;10/04/2017 06:16
400;Administrateur base de données ;10/04/2017 06:19
401;Technicien en maintenance, développeur logiciel et réseaux;10/04/2017 06:26
402;Technicien réseaux,maintenance informatique,Developpement web;10/04/2017 06:27
403;Porteur du projet/Gérante/Responsable production;10/04/2017 15:26
404;Développeur ERP (Stagiaire);11/04/2017 06:23
405;Stage de 3 mois;11/04/2017 06:34
406;chef de projet flux entrants;11/04/2017 06:41
407;Contrôleur de rédaction web;11/04/2017 06:44
408;Responsable logistique/ Formateur ;11/04/2017 08:39
409;Assistant de recherche;11/04/2017 08:39
410;Action Communautaire;11/04/2017 08:39
411;Logistique;11/04/2017 08:39
412;Gestionnaire back-office, opérateur web;11/04/2017 09:04
413;Missionnaire en plein temps;11/04/2017 09:04
414;Rédacteur;11/04/2017 09:04
415;consultante juridique junior;11/04/2017 11:37
416;Téléconseillère;11/04/2017 15:28
417;Secrétaire/Réceptionniste;11/04/2017 15:30
418;Assistant Technicien de maintenance et réseau informatique ;12/04/2017 06:31
419;Agent de contrôle sur le chantier;12/04/2017 06:43
420;Contribution au codage des informations de la base de données sur les communautés malgaches gestionnaires de ressources naturelles;12/04/2017 06:46
421;développeur (stagiaire);12/04/2017 06:54
422;DIRECTEUR D'AGENCE;12/04/2017 08:45
423;RESPONSABLE DES OPÉRATIONS IMPORT ET EXPORT ;12/04/2017 08:45
424;Assistant enquêteur;13/04/2017 09:17
425;Stagiaire en tant qu'Assistant dans le service financier;13/04/2017 09:30
426;Assistant de direction Fonctionnement réseau (Stagiaire);13/04/2017 09:33
427;Assistante Comptable (Stagiaire);13/04/2017 11:43
428;Professeur de Français, Anglais, Malagasy et Sciences physiques;13/04/2017 13:50
429;Controleur qualité, conception éléctronique, installation caméra de survéillance et système d'alarme;14/04/2017 12:46
430;Agent administrateur des ventes et caisses;15/04/2017 16:42
431; Responsable import-export ;18/04/2017 09:05
432;agent de liaison;18/04/2017 11:58
433;Opératrice web, référenceuse;18/04/2017 13:54
434;Stage en vue de l'obtention du diplome Master II en elctronique;19/04/2017 09:06
435;Technicien réseaux et développeur;19/04/2017 09:49
436;Technicien réseaux;19/04/2017 09:52
437;consultante juridique junior (CDD);19/04/2017 10:03
438;Secrétaire Administrative et Financière;19/04/2017 11:43
439;Stage en communication;19/04/2017 11:46
440;Assitante de Direction temporaire;19/04/2017 11:47
441;Secrétaire administrative et commerciale;19/04/2017 11:48
442;Responsable cantine;19/04/2017 12:00
443;Cuisinière;19/04/2017 12:01
444;superviseur commercial;19/04/2017 12:14
445;Aide assistant;19/04/2017 16:25
446;chef de mission comptable;20/04/2017 09:42
447;chef magasin;20/04/2017 09:48
448;Opérateur online Back office;20/04/2017 13:08
449;Buisnessplan;20/04/2017 13:56
450;Bureautique;20/04/2017 13:56
451; Enseignant;20/04/2017 13:56
452;Stagiaire  en tant que Chargée de clientèle;20/04/2017 15:05
453;Agent de comptoir ;20/04/2017 15:06
454;Operateur Clichage;20/04/2017 18:04
455;webmaster;20/04/2017 18:04
456;Technicien Flexible - Responsable Magasin ;21/04/2017 10:59
457;RESPONSABLE DE PRODUCTION;22/04/2017 09:11
458;TRANSITAIRE;22/04/2017 09:11
459;RESPONSABLE DE TRANSIT;22/04/2017 09:11
460;stagiaire en tant que technicien des opérations internationale;22/04/2017 16:38
461;collecte des doneé, Maintenancier, électricien;23/04/2017 14:54
462;Animateur vente Indirect;23/04/2017 20:04
463;Ingénieur en Instrumentation et Automatisme (sur terrain);24/04/2017 09:23
464;Ingénieur de conception et réalisation d'une Turbine Hélice;24/04/2017 09:23
465;Stagiaire et Travaux Pratiques;24/04/2017 09:23
466;Developpeur C#;24/04/2017 09:41
467;Responsable Commercial et Marketing;24/04/2017 11:42
468;Enquêteur temporaire;24/04/2017 11:44
469;Maintenance;24/04/2017 16:26
470;Aide assistant de Direction;25/04/2017 09:33
471;HUMAN RESOURCES ASSISTANT;25/04/2017 12:15
472;HUMAN RESOURCES COORDINATOR;25/04/2017 12:15
473;Magasinier et Monteur flexible;26/04/2017 06:58
474;Responsable magasin;26/04/2017 07:01
475;Technicien Commercial;26/04/2017 07:02
476;Agent de saisie Logistique chez PSI Madagascar;26/04/2017 08:04
477;Consultant  Vérificateur  Suivi-évaluation  sur la campagne de lutte contre le   paludisme chez PSI Madagascar (sur Tana et toutes les provinces);26/04/2017 08:04
478;Consultante Vérificateur de saisie MID chez PSI Madagascar ;26/04/2017 08:04
479;Pair éducateur chez  PSI Madagascar  TOP RESEAU : sensibilisation sur la santé reproductive des jeunes (dans les quartiers vulnérables de Tana et périphéries);26/04/2017 08:04
480;Stagiaire Déclarant, facturier, agent d’enlèvement, passeur de pièces, secrétaire, ;26/04/2017 08:39
481;Commerciale grands comptes;26/04/2017 08:39
482;Electromecanicien;26/04/2017 08:45
483;gestion de stock et commande magasin;26/04/2017 10:27
484;Agent de saisie Logistique ;26/04/2017 12:07
485;Consultant  Vérificateur  Suivi-évaluation  sur la campagne de lutte contre le paludisme (sur Tana et toutes les provinces);26/04/2017 12:07
486;Consultante Vérificateur de saisie MID ;26/04/2017 12:07
487;Pair éducateur : sensibilisation sur la santé reproductive des jeunes (dans les quartiers vulnérables de Tana et périphéries);26/04/2017 12:07
488;Responsable Commerciale;26/04/2017 12:57
489;ACHAT ET DISTRIBUTEUR DE REPAS;26/04/2017 13:32
490;Chef de Secteur;26/04/2017 13:36
491;Assistant au responsable des statistiques;27/04/2017 06:25
492;Entraîneur d'une équipe de Volley Ball de Haut Niveau;27/04/2017 06:38
493;Magasinier et Assistant Logistique;27/04/2017 06:38
494;Ressources Humaines;27/04/2017 07:00
495;Développement des Ressources Humaines;27/04/2017 07:00
496;cuisinier-patissier;27/04/2017 08:32
497;cuisinier(chef);27/04/2017 08:32
498;Technicien de maintenance (CDD de 6 mois);28/04/2017 07:06
499;Chauffeur-Livreur (CDD de 6 mois);28/04/2017 07:06
500;Stagiaire électricien;28/04/2017 07:06
501;General manager;28/04/2017 10:39
502;Administrateur Général;28/04/2017 10:39
503;CFO rattaché au DG;28/04/2017 10:39
504;Financial controller group;28/04/2017 10:39
505;Directeur adjoint des relations entreprises;28/04/2017 10:39
506;Analyste financier & conseiller en financement de projets;28/04/2017 10:39
507;Consultant comptable, fiscal et auditeur;28/04/2017 10:39
508;Chargé d'affaires entreprises;28/04/2017 10:39
509;stagiaire en tant que technicien des opérations internationales;28/04/2017 11:43
510;Stagiaire dans le service front office trésorerie;28/04/2017 11:46
511;Stagiaire dans le service contentieux;28/04/2017 11:48
512;Stagiaire dans le service des affaires générales;28/04/2017 11:54
513;Créateur d'une ferme en zone rurale;28/04/2017 12:03
514;Propriétaire d'une ferme en zone rurale;28/04/2017 13:57
515;Gestion de livraison des colis;29/04/2017 12:39
516;Gestionnaire des stocks;29/04/2017 12:39
517;Chef d'équipe Magasin;29/04/2017 12:39
518;Rédaction;30/04/2017 20:02
519;Responsable Magasin produits vendables ;01/05/2017 08:11
520;Responsable Administratif et Financier (RAF);01/05/2017 13:48
521;Directeur Administratif et Financier (DAF);01/05/2017 13:48
522;Directeur de Site (DS);01/05/2017 13:48
523;Administrateur de Projet;01/05/2017 13:48
524;Auditeur Junior;01/05/2017 13:48
525;Junior;01/05/2017 13:48
526;Agent administratif;02/05/2017 10:03
527;CHARGE DE CLIENTELE/ COMMERCIALE;02/05/2017 10:03
528;Gestionnaire et Agent de liaison Hk Service;02/05/2017 11:38
529;Consultante  Vérificateur  Suivi-évaluation  sur la campagne de lutte contre le paludisme (sur Tana et toutes les provinces);02/05/2017 11:49
530;Hôtesse d'accueil/Animatrice;02/05/2017 11:52
531;;02/05/2017 15:40
532;QHSE SUPERVISEUR;02/05/2017 15:40
533;HSE SUPERVISEUR;02/05/2017 15:40
534;Stagiaire Assistant de conducteur de travaux;03/05/2017 07:02
535;Stagiaire Assistant d'Ingénieur;03/05/2017 07:04
536;Stagiaire Assistant au Chef de service;03/05/2017 07:08
537;Stagiaire Assistant d'ingénieur et chef de chantier;03/05/2017 07:09
